impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
eager,64,16,60,2,4,0.0000,0.2818,0.2818,29.6,success
eager,64,16,60,4,4,0.0000,0.3284,0.3284,31.0,success
eager,64,16,60,6,4,0.0000,0.3846,0.3846,32.5,success
eager,64,16,60,8,4,0.0000,0.4881,0.4881,33.9,success
eager,64,16,60,10,4,0.0000,0.4253,0.4253,35.3,success
eager,128,16,60,2,4,0.0000,0.2615,0.2615,47.9,success
eager,128,16,60,4,4,0.0000,0.3374,0.3374,51.8,success
eager,128,16,60,6,4,0.0000,0.3643,0.3643,55.7,success
eager,128,16,60,8,4,0.0000,0.4012,0.4012,59.6,success
eager,128,16,60,10,4,0.0000,0.4256,0.4256,63.4,success
eager,256,16,60,2,4,0.0000,0.2670,0.2670,86.3,success
eager,256,16,60,4,4,0.0000,0.3355,0.3355,96.6,success
eager,256,16,60,6,4,0.0000,0.3740,0.3740,106.8,success
eager,256,16,60,8,4,0.0000,0.4193,0.4193,117.1,success
eager,256,16,60,10,4,0.0000,0.4193,0.4193,127.4,success
eager,512,16,60,2,4,0.0000,0.2628,0.2628,171.3,success
eager,512,16,60,4,4,0.0000,0.3504,0.3504,204.8,success
eager,512,16,60,6,4,0.0000,0.3694,0.3694,238.8,success
eager,512,16,60,8,4,0.0000,0.4123,0.4123,272.8,success
eager,512,16,60,10,4,0.0000,0.4386,0.4386,306.3,success
eager,1024,16,60,2,4,0.0000,0.2775,0.2775,385.1,success
eager,1024,16,60,4,4,0.0000,0.3570,0.3570,503.8,success
eager,1024,16,60,6,4,0.0000,0.3767,0.3767,622.6,success
eager,1024,16,60,8,4,0.0000,0.4145,0.4145,741.3,success
eager,1024,16,60,10,4,0.0000,0.4335,0.4335,860.1,success
eager,512,16,60,6,4,0.0000,0.3702,0.3702,238.8,success
eager,512,16,70,6,4,0.0000,0.3905,0.3905,243.1,success
eager,512,16,80,6,4,0.0000,0.4149,0.4149,247.9,success
eager,512,16,90,6,4,0.0000,0.4253,0.4253,250.4,success
eager,512,16,100,6,4,0.0000,0.4421,0.4421,254.0,success
eager,512,4,60,6,4,0.0000,0.3729,0.3729,217.8,success
eager,512,8,60,6,4,0.0000,0.3665,0.3665,224.5,success
eager,512,16,60,6,4,0.0000,0.3722,0.3722,238.8,success
eager,512,32,60,6,4,0.0000,0.3742,0.3742,265.7,success
eager,512,64,60,6,4,0.0000,0.3841,0.3841,318.7,success
