impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
graph,64,16,60,2,4,4.3660,5.4353,9.8013,283.4,success
graph,64,16,60,4,4,4.2197,5.0406,9.2603,284.7,success
graph,64,16,60,6,4,5.7324,5.0319,10.7643,32.5,success
graph,64,16,60,8,4,6.8419,6.5114,13.3533,33.9,success
graph,64,16,60,10,4,8.1045,8.0662,16.1707,35.3,success
graph,128,16,60,2,4,3.0378,5.2192,8.2570,302.5,success
graph,128,16,60,4,4,4.4023,4.6832,9.0856,306.0,success
graph,128,16,60,6,4,5.3975,5.0276,10.4251,55.7,success
graph,128,16,60,8,4,7.0832,6.4456,13.5287,59.6,success
graph,128,16,60,10,4,7.9112,7.8182,15.7294,63.4,success
graph,256,16,60,2,4,3.1972,4.2431,7.4403,341.4,success
graph,256,16,60,4,4,4.2009,3.6351,7.8360,96.6,success
graph,256,16,60,6,4,5.3378,5.0396,10.3773,106.8,success
graph,256,16,60,8,4,6.7080,6.4200,13.1279,117.1,success
graph,256,16,60,10,4,7.9074,7.8360,15.7434,127.4,success
graph,512,16,60,2,4,3.2486,4.3533,7.6019,427.2,success
graph,512,16,60,4,4,4.1854,3.6859,7.8712,205.1,success
graph,512,16,60,6,4,5.4181,5.0964,10.5145,239.1,success
graph,512,16,60,8,4,6.7498,6.4243,13.1741,273.1,success
graph,512,16,60,10,4,8.1540,7.7585,15.9124,306.6,success
graph,1024,16,60,2,4,3.2564,4.4369,7.6933,641.0,success
graph,1024,16,60,4,4,4.2928,3.6875,7.9803,504.3,success
graph,1024,16,60,6,4,5.5011,5.0965,10.5976,623.1,success
graph,1024,16,60,8,4,6.7008,6.3813,13.0821,741.8,success
graph,1024,16,60,10,4,7.9134,7.9207,15.8342,860.6,success
graph,512,16,60,6,4,4.0731,3.1673,7.2404,239.1,success
graph,512,16,70,6,4,5.4022,5.7735,11.1757,499.1,success
graph,512,16,80,6,4,5.3426,5.7735,11.1162,503.8,success
graph,512,16,90,6,4,5.3767,5.8021,11.1788,506.3,success
graph,512,16,100,6,4,5.3977,5.7984,11.1961,510.0,success
graph,512,4,60,6,4,5.4280,6.7962,12.2241,473.8,success
graph,512,8,60,6,4,5.3966,6.9155,12.3121,480.4,success
graph,512,16,60,6,4,4.3327,3.2200,7.5528,239.1,success
graph,512,32,60,6,4,5.4424,10.3504,15.7928,521.6,success
graph,512,64,60,6,4,5.4059,10.5580,15.9638,574.6,success
