impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,512,4,400,12,4,0.0000,1.6054,1.6054,368.3,38.9,success
eager,512,8,400,12,4,0.0000,1.6010,1.6010,446.9,47.2,success
eager,512,16,400,12,4,0.0000,1.6057,1.6057,604.4,54.3,success
eager,512,32,400,12,4,0.0000,1.7863,1.7863,943.1,70.6,success
eager,512,64,400,12,4,0.0000,2.2699,2.2699,1548.7,82.2,success
graph,512,4,400,12,4,7.5610,6.9942,14.5552,368.3,36.1,success
graph,512,8,400,12,4,7.2565,6.9895,14.2460,447.1,55.7,success
graph,512,16,400,12,4,7.3248,7.0961,14.4210,604.7,59.2,success
graph,512,32,400,12,4,7.1283,7.3628,14.4911,943.7,71.6,success
graph,512,64,400,12,4,7.2524,8.1643,15.4167,1549.9,77.7,success
