impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,512,32,100,8,4,0.0000,0.5126,0.5126,347.8,8.7,success
eager,512,32,200,8,4,0.0000,0.7528,0.7528,454.2,32.5,success
eager,512,32,400,8,4,0.0000,1.3213,1.3213,683.1,64.5,success
eager,512,32,800,8,4,0.0000,2.9274,2.9274,1092.8,80.9,success
eager,512,32,1600,8,4,0.0000,8.1853,8.1853,1944.7,92.6,success
graph,512,32,100,8,4,5.4711,4.6122,10.0833,348.3,5.9,success
graph,512,32,200,8,4,5.3375,4.5592,9.8967,454.7,35.5,success
graph,512,32,400,8,4,5.3341,5.0797,10.4138,683.6,71.4,success
graph,512,32,800,8,4,5.3200,6.7121,12.0321,1093.6,86.2,success
graph,512,32,1600,8,4,5.3449,15.1351,20.4800,1945.8,93.7,success
