impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,128,32,400,8,4,0.0000,1.2020,1.2020,158.8,34.5,success
eager,256,32,400,8,4,0.0000,1.2130,1.2130,315.2,41.8,success
eager,512,32,400,8,4,0.0000,1.3635,1.3635,683.1,57.8,success
eager,1024,32,400,8,4,0.0000,1.8380,1.8380,1532.1,75.9,success
eager,2048,32,400,8,4,0.0000,3.3547,3.3547,3783.5,88.3,success
graph,128,32,400,8,4,5.2850,4.6467,9.9317,159.1,38.2,success
graph,256,32,400,8,4,5.3088,4.7994,10.1082,315.6,48.2,success
graph,512,32,400,8,4,5.3562,5.0611,10.4173,683.6,62.0,success
graph,1024,32,400,8,4,5.3313,5.6722,11.0035,1533.1,73.9,success
graph,2048,32,400,8,4,5.3881,7.2192,12.6074,3785.4,83.3,success
