impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,512,32,400,4,4,0.0000,0.8711,0.8711,423.1,43.2,success
eager,512,32,400,6,4,0.0000,1.0800,1.0800,553.1,52.8,success
eager,512,32,400,8,4,0.0000,1.3099,1.3099,683.1,59.5,success
eager,512,32,400,10,4,0.0000,1.5268,1.5268,813.1,64.9,success
eager,512,32,400,12,4,0.0000,1.7701,1.7701,943.1,67.7,success
graph,512,32,400,4,4,3.4492,2.8909,6.3401,423.6,54.7,success
graph,512,32,400,6,4,4.4719,4.1151,8.5870,553.6,65.7,success
graph,512,32,400,8,4,5.7458,5.0911,10.8369,683.6,61.6,success
graph,512,32,400,10,4,6.7048,6.5950,13.2998,813.7,61.1,success
graph,512,32,400,12,4,7.3446,7.4516,14.7963,943.7,70.9,success
