impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,128,4,100,4,4,0.0000,0.3906,0.3906,46.7,6.3,success
eager,256,4,100,4,4,0.0000,0.3897,0.3897,89.3,5.0,success
eager,512,4,100,4,4,0.0000,0.3963,0.3963,192.8,7.3,success
eager,1024,4,100,4,4,0.0000,0.4658,0.4658,486.5,3.3,success
eager,2048,4,100,4,4,0.0000,0.5119,0.5119,1321.4,16.9,success
eager,128,4,100,6,4,0.0000,0.4571,0.4571,49.5,8.1,success
eager,256,4,100,6,4,0.0000,0.4592,0.4592,97.4,5.0,success
eager,512,4,100,6,4,0.0000,0.4775,0.4775,221.9,9.0,success
eager,1024,4,100,6,4,0.0000,0.4821,0.4821,598.5,6.9,success
eager,2048,4,100,6,4,0.0000,0.5597,0.5597,1725.9,30.3,success
eager,128,4,100,8,4,0.0000,0.5145,0.5145,52.3,4.6,success
eager,256,4,100,8,4,0.0000,0.4925,0.4925,105.4,5.7,success
eager,512,4,100,8,4,0.0000,0.5019,0.5019,251.1,7.6,success
eager,1024,4,100,8,4,0.0000,0.5245,0.5245,710.5,14.8,success
eager,2048,4,100,8,4,0.0000,0.6272,0.6272,2130.4,30.1,success
eager,128,4,100,10,4,0.0000,0.5345,0.5345,55.0,10.7,success
eager,256,4,100,10,4,0.0000,0.5528,0.5528,113.5,9.0,success
eager,512,4,100,10,4,0.0000,0.5729,0.5729,280.2,12.9,success
eager,1024,4,100,10,4,0.0000,0.5707,0.5707,822.5,18.2,success
eager,2048,4,100,10,4,0.0000,0.6944,0.6944,2535.0,39.3,success
eager,128,4,100,12,4,0.0000,0.5802,0.5802,57.8,12.5,success
eager,256,4,100,12,4,0.0000,0.5909,0.5909,121.6,14.7,success
eager,512,4,100,12,4,0.0000,0.6126,0.6126,309.3,15.0,success
eager,1024,4,100,12,4,0.0000,0.6249,0.6249,934.6,24.6,success
eager,2048,4,100,12,4,0.0000,0.7699,0.7699,2939.5,46.8,success
eager,128,4,200,4,4,0.0000,0.5218,0.5218,48.3,7.9,success
eager,256,4,200,4,4,0.0000,0.5137,0.5137,92.8,10.4,success
eager,512,4,200,4,4,0.0000,0.5264,0.5264,200.4,7.9,success
eager,1024,4,200,4,4,0.0000,0.5625,0.5625,497.0,18.6,success
eager,2048,4,200,4,4,0.0000,0.6868,0.6868,1349.9,41.5,success
eager,128,4,200,6,4,0.0000,0.6260,0.6260,51.9,13.2,success
eager,256,4,200,6,4,0.0000,0.6229,0.6229,102.4,15.4,success
eager,512,4,200,6,4,0.0000,0.6281,0.6281,233.0,17.4,success
eager,1024,4,200,6,4,0.0000,0.6740,0.6740,613.4,27.6,success
eager,2048,4,200,6,4,0.0000,0.8391,0.8391,1766.9,50.4,success
eager,128,4,200,8,4,0.0000,0.7164,0.7164,55.4,16.0,success
eager,256,4,200,8,4,0.0000,0.7092,0.7092,112.0,20.0,success
eager,512,4,200,8,4,0.0000,0.7476,0.7476,265.9,24.6,success
eager,1024,4,200,8,4,0.0000,0.7569,0.7569,729.8,39.7,success
eager,2048,4,200,8,4,0.0000,0.9952,0.9952,2184.0,61.2,success
eager,128,4,200,10,4,0.0000,0.8187,0.8187,59.0,19.7,success
eager,256,4,200,10,4,0.0000,0.8129,0.8129,121.7,20.5,success
eager,512,4,200,10,4,0.0000,0.8551,0.8551,298.5,28.7,success
eager,1024,4,200,10,4,0.0000,0.8749,0.8749,846.2,42.8,success
eager,2048,4,200,10,4,0.0000,1.1415,1.1415,2601.0,65.3,success
eager,128,4,200,12,4,0.0000,0.9136,0.9136,62.5,21.0,success
eager,256,4,200,12,4,0.0000,0.9207,0.9207,131.3,23.8,success
eager,512,4,200,12,4,0.0000,0.9626,0.9626,330.9,28.7,success
eager,1024,4,200,12,4,0.0000,0.9846,0.9846,962.6,45.8,success
eager,2048,4,200,12,4,0.0000,1.2989,1.2989,3018.0,72.2,success
eager,128,4,400,4,4,0.0000,0.7469,0.7469,51.8,17.7,success
eager,256,4,400,4,4,0.0000,0.7667,0.7667,99.9,22.8,success
eager,512,4,400,4,4,0.0000,0.7788,0.7788,214.2,25.8,success
eager,1024,4,400,4,4,0.0000,0.8508,0.8508,523.8,39.8,success
eager,2048,4,400,4,4,0.0000,1.1444,1.1444,1406.9,63.8,success
eager,128,4,400,6,4,0.0000,1.0286,1.0286,56.9,23.4,success
eager,256,4,400,6,4,0.0000,0.9789,0.9789,112.7,25.6,success
eager,512,4,400,6,4,0.0000,0.9955,0.9955,252.7,32.3,success
eager,1024,4,400,6,4,0.0000,1.0445,1.0445,650.8,55.2,success
eager,2048,4,400,6,4,0.0000,1.4537,1.4537,1849.0,74.3,success
eager,128,4,400,8,4,0.0000,1.1543,1.1543,62.0,25.9,success
eager,256,4,400,8,4,0.0000,1.1450,1.1450,125.4,28.5,success
eager,512,4,400,8,4,0.0000,1.2188,1.2188,291.2,34.6,success
eager,1024,4,400,8,4,0.0000,1.2646,1.2646,778.8,57.6,success
eager,2048,4,400,8,4,0.0000,1.7878,1.7878,2291.0,78.0,success
eager,128,4,400,10,4,0.0000,1.3821,1.3821,67.2,26.0,success
eager,256,4,400,10,4,0.0000,1.3424,1.3424,138.2,30.1,success
eager,512,4,400,10,4,0.0000,1.4206,1.4206,329.7,37.5,success
eager,1024,4,400,10,4,0.0000,1.4758,1.4758,906.8,59.5,success
eager,2048,4,400,10,4,0.0000,2.1108,2.1108,2733.0,81.6,success
eager,128,4,400,12,4,0.0000,1.5489,1.5489,72.3,27.9,success
eager,256,4,400,12,4,0.0000,1.5785,1.5785,151.0,30.6,success
eager,512,4,400,12,4,0.0000,1.6057,1.6057,368.3,39.1,success
eager,1024,4,400,12,4,0.0000,1.6691,1.6691,1033.9,63.5,success
eager,2048,4,400,12,4,0.0000,2.4301,2.4301,3175.1,84.5,success
eager,128,4,800,4,4,0.0000,1.2482,1.2482,59.0,28.7,success
eager,256,4,800,4,4,0.0000,1.2657,1.2657,114.2,32.2,success
eager,512,4,800,4,4,0.0000,1.3235,1.3235,242.8,42.3,success
eager,1024,4,800,4,4,0.0000,1.4313,1.4313,582.9,61.7,success
eager,2048,4,800,4,4,0.0000,2.1790,2.1790,1529.0,84.1,success
eager,128,4,800,6,4,0.0000,1.6302,1.6302,67.2,31.2,success
eager,256,4,800,6,4,0.0000,1.6363,1.6363,133.2,35.9,success
eager,512,4,800,6,4,0.0000,1.7140,1.7140,293.8,44.7,success
eager,1024,4,800,6,4,0.0000,1.8537,1.8537,736.9,69.1,success
eager,2048,4,800,6,4,0.0000,2.9278,2.9278,2025.1,85.5,success
eager,128,4,800,8,4,0.0000,2.0692,2.0692,75.5,30.5,success
eager,256,4,800,8,4,0.0000,2.0334,2.0334,152.2,36.4,success
eager,512,4,800,8,4,0.0000,2.1316,2.1316,344.8,46.7,success
eager,1024,4,800,8,4,0.0000,2.2848,2.2848,890.9,73.5,success
eager,2048,4,800,8,4,0.0000,3.6682,3.6682,2521.1,89.8,success
eager,128,4,800,10,4,0.0000,2.4313,2.4313,83.7,32.2,success
eager,256,4,800,10,4,0.0000,2.5024,2.5024,171.2,36.1,success
eager,512,4,800,10,4,0.0000,2.4870,2.4870,395.8,50.5,success
eager,1024,4,800,10,4,0.0000,2.7126,2.7126,1044.9,76.5,success
eager,2048,4,800,10,4,0.0000,4.4070,4.4070,3017.1,90.9,success
eager,128,4,800,12,4,0.0000,2.8207,2.8207,92.0,33.0,success
eager,256,4,800,12,4,0.0000,2.8857,2.8857,190.3,37.1,success
eager,512,4,800,12,4,0.0000,2.9470,2.9470,446.8,49.7,success
eager,1024,4,800,12,4,0.0000,3.1306,3.1306,1198.9,80.6,success
eager,2048,4,800,12,4,0.0000,5.1746,5.1746,3513.2,91.7,success
eager,128,4,1600,4,4,0.0000,2.1677,2.1677,73.3,35.3,success
eager,256,4,1600,4,4,0.0000,2.1991,2.1991,142.8,40.9,success
eager,512,4,1600,4,4,0.0000,2.3409,2.3409,300.3,53.5,success
eager,1024,4,1600,4,4,0.0000,2.8626,2.8626,705.0,81.4,success
eager,2048,4,1600,4,4,0.0000,4.8117,4.8117,1749.3,91.6,success
eager,128,4,1600,6,4,0.0000,2.9731,2.9731,87.8,35.4,success
eager,256,4,1600,6,4,0.0000,3.0552,3.0552,174.3,42.7,success
eager,512,4,1600,6,4,0.0000,3.1257,3.1257,376.3,58.1,success
eager,1024,4,1600,6,4,0.0000,3.8738,3.8738,913.0,84.5,success
eager,2048,4,1600,6,4,0.0000,6.6677,6.6677,2341.3,92.9,success
eager,128,4,1600,8,4,0.0000,3.8403,3.8403,102.3,35.4,success
eager,256,4,1600,8,4,0.0000,3.8695,3.8695,205.8,43.2,success
eager,512,4,1600,8,4,0.0000,3.9325,3.9325,452.3,59.1,success
eager,1024,4,1600,8,4,0.0000,4.7943,4.7943,1121.0,86.8,success
eager,2048,4,1600,8,4,0.0000,8.5257,8.5257,2933.3,94.3,success
eager,128,4,1600,10,4,0.0000,4.5296,4.5296,116.8,37.6,success
eager,256,4,1600,10,4,0.0000,4.6890,4.6890,237.3,44.5,success
eager,512,4,1600,10,4,0.0000,4.7878,4.7878,528.3,61.0,success
eager,1024,4,1600,10,4,0.0000,5.8602,5.8602,1329.1,87.0,success
eager,2048,4,1600,10,4,0.0000,10.4297,10.4297,3525.4,95.4,success
eager,128,4,1600,12,4,0.0000,5.4341,5.4341,131.3,37.1,success
eager,256,4,1600,12,4,0.0000,5.4370,5.4370,268.8,45.3,success
eager,512,4,1600,12,4,0.0000,5.6128,5.6128,604.4,61.4,success
eager,1024,4,1600,12,4,0.0000,6.7156,6.7156,1537.1,89.5,success
eager,2048,4,1600,12,4,0.0000,12.2754,12.2754,4117.4,96.8,success
eager,128,8,100,4,4,0.0000,0.3928,0.3928,49.2,5.0,success
eager,256,8,100,4,4,0.0000,0.3873,0.3873,93.4,6.2,success
eager,512,8,100,4,4,0.0000,0.3976,0.3976,200.9,6.8,success
eager,1024,8,100,4,4,0.0000,0.4214,0.4214,497.4,5.4,success
eager,2048,8,100,4,4,0.0000,0.4970,0.4970,1350.1,10.8,success
eager,128,8,100,6,4,0.0000,0.4480,0.4480,52.8,6.7,success
eager,256,8,100,6,4,0.0000,0.4732,0.4732,103.0,9.1,success
eager,512,8,100,6,4,0.0000,0.4540,0.4540,233.4,8.7,success
eager,1024,8,100,6,4,0.0000,0.4722,0.4722,613.8,5.4,success
eager,2048,8,100,6,4,0.0000,0.5946,0.5946,1767.2,29.7,success
eager,128,8,100,8,4,0.0000,0.4928,0.4928,56.4,5.7,success
eager,256,8,100,8,4,0.0000,0.4991,0.4991,112.7,6.8,success
eager,512,8,100,8,4,0.0000,0.5049,0.5049,266.3,8.7,success
eager,1024,8,100,8,4,0.0000,0.5225,0.5225,730.2,16.0,success
eager,2048,8,100,8,4,0.0000,0.6675,0.6675,2184.2,45.3,success
eager,128,8,100,10,4,0.0000,0.5554,0.5554,59.9,8.9,success
eager,256,8,100,10,4,0.0000,0.5476,0.5476,122.3,14.9,success
eager,512,8,100,10,4,0.0000,0.5660,0.5660,298.9,13.6,success
eager,1024,8,100,10,4,0.0000,0.5725,0.5725,846.6,26.3,success
eager,2048,8,100,10,4,0.0000,0.7532,0.7532,2601.2,47.7,success
eager,128,8,100,12,4,0.0000,0.5938,0.5938,63.5,14.0,success
eager,256,8,100,12,4,0.0000,0.5980,0.5980,131.9,12.7,success
eager,512,8,100,12,4,0.0000,0.6196,0.6196,331.4,18.5,success
eager,1024,8,100,12,4,0.0000,0.6236,0.6236,962.9,24.4,success
eager,2048,8,100,12,4,0.0000,0.8469,0.8469,3018.3,52.2,success
eager,128,8,200,4,4,0.0000,0.5640,0.5640,52.4,9.0,success
eager,256,8,200,4,4,0.0000,0.5072,0.5072,100.3,9.3,success
eager,512,8,200,4,4,0.0000,0.5514,0.5514,214.6,11.2,success
eager,1024,8,200,4,4,0.0000,0.5748,0.5748,524.0,20.5,success
eager,2048,8,200,4,4,0.0000,0.7531,0.7531,1406.8,51.9,success
eager,128,8,200,6,4,0.0000,0.6110,0.6110,57.5,14.6,success
eager,256,8,200,6,4,0.0000,0.6373,0.6373,113.1,15.0,success
eager,512,8,200,6,4,0.0000,0.6297,0.6297,253.1,20.8,success
eager,1024,8,200,6,4,0.0000,0.6707,0.6707,651.0,35.7,success
eager,2048,8,200,6,4,0.0000,0.9298,0.9298,1848.8,61.9,success
eager,128,8,200,8,4,0.0000,0.7168,0.7168,62.7,17.2,success
eager,256,8,200,8,4,0.0000,0.7138,0.7138,125.9,22.0,success
eager,512,8,200,8,4,0.0000,0.7444,0.7444,291.6,24.8,success
eager,1024,8,200,8,4,0.0000,0.7867,0.7867,779.0,43.1,success
eager,2048,8,200,8,4,0.0000,1.1048,1.1048,2290.9,67.3,success
eager,128,8,200,10,4,0.0000,0.8064,0.8064,67.8,21.7,success
eager,256,8,200,10,4,0.0000,0.8074,0.8074,138.6,23.0,success
eager,512,8,200,10,4,0.0000,0.8343,0.8343,330.1,32.9,success
eager,1024,8,200,10,4,0.0000,0.9001,0.9001,907.0,45.3,success
eager,2048,8,200,10,4,0.0000,1.3027,1.3027,2732.9,73.8,success
eager,128,8,200,12,4,0.0000,0.9082,0.9082,72.9,22.2,success
eager,256,8,200,12,4,0.0000,0.9071,0.9071,151.4,26.2,success
eager,512,8,200,12,4,0.0000,0.9655,0.9655,368.6,33.8,success
eager,1024,8,200,12,4,0.0000,0.9818,0.9818,1034.0,50.0,success
eager,2048,8,200,12,4,0.0000,1.4831,1.4831,3174.9,74.6,success
eager,128,8,400,4,4,0.0000,0.7485,0.7485,59.4,19.0,success
eager,256,8,400,4,4,0.0000,0.7676,0.7676,114.5,21.8,success
eager,512,8,400,4,4,0.0000,0.8031,0.8031,242.9,31.0,success
eager,1024,8,400,4,4,0.0000,0.8607,0.8607,582.7,48.0,success
eager,2048,8,400,4,4,0.0000,1.3144,1.3144,1528.1,69.5,success
