impl,dim,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
eager,128,1,4,0.0000,0.1528,0.1528,51.5,success
graph,128,1,4,1.8552,1.2795,3.1347,50.3,success
eager,128,2,4,0.0000,0.0375,0.0375,53.1,success
graph,128,2,4,1.2552,1.8117,3.0669,51.9,success
eager,128,4,4,0.0000,0.0665,0.0665,56.3,success
graph,128,4,4,2.1925,3.3298,5.5223,55.1,success
eager,128,6,4,0.0000,0.0953,0.0953,59.4,success
graph,128,6,4,3.0874,4.8051,7.8925,58.2,success
eager,128,8,4,0.0000,0.1153,0.1153,62.6,success
graph,128,8,4,3.9294,9.9062,13.8356,61.4,success
eager,256,1,4,0.0000,0.0261,0.0261,86.4,success
graph,256,1,4,2.0203,5.1045,7.1248,374.6,success
eager,256,2,4,0.0000,0.0383,0.0383,90.8,success
graph,256,2,4,1.8433,3.0209,4.8642,89.6,success
eager,256,4,4,0.0000,0.0668,0.0668,99.6,success
graph,256,4,4,3.3731,5.2861,8.6591,98.5,success
eager,256,6,4,0.0000,0.0929,0.0929,108.5,success
graph,256,6,4,4.3606,7.4121,11.7727,107.3,success
eager,256,8,4,0.0000,0.1189,0.1189,117.3,success
graph,256,8,4,5.6985,9.7559,15.4544,116.2,success
eager,512,1,4,0.0000,0.0296,0.0296,158.9,success
graph,512,1,4,2.1371,1.9303,4.0673,157.9,success
eager,512,2,4,0.0000,0.0428,0.0428,176.1,success
graph,512,2,4,2.1283,2.8317,4.9600,173.2,success
eager,512,4,4,0.0000,0.0719,0.0719,207.3,success
graph,512,4,4,3.4244,3.3050,6.7293,203.9,success
eager,512,6,4,0.0000,0.0981,0.0981,236.9,success
graph,512,6,4,4.6453,7.0631,11.7084,235.5,success
eager,512,8,4,0.0000,0.1265,0.1265,268.7,success
graph,512,8,4,6.7718,9.1701,15.9419,267.1,success
eager,1024,1,4,0.0000,0.0357,0.0357,324.3,success
graph,1024,1,4,2.4333,1.9323,4.3656,323.1,success
eager,1024,2,4,0.0000,0.0493,0.0493,380.2,success
graph,1024,2,4,2.4439,2.8227,5.2666,382.3,success
eager,1024,4,4,0.0000,0.0796,0.0796,491.2,success
graph,1024,4,4,3.6569,4.9713,8.6282,495.4,success
eager,1024,6,4,0.0000,0.1063,0.1063,607.7,success
graph,1024,6,4,4.9695,7.0747,12.0442,610.1,success
eager,1024,8,4,0.0000,0.1338,0.1338,720.1,success
graph,1024,8,4,6.3390,9.2214,15.5604,724.5,success
eager,2048,1,4,0.0000,0.0535,0.0535,725.9,success
graph,2048,1,4,2.2739,2.0873,4.3613,722.9,success
eager,2048,2,4,0.0000,0.0781,0.0781,930.3,success
graph,2048,2,4,2.8033,2.9208,5.7241,928.2,success
eager,2048,4,4,0.0000,0.1236,0.1236,1339.8,success
graph,2048,4,4,4.0172,5.0651,9.0823,1339.0,success
eager,2048,6,4,0.0000,0.1700,0.1700,1750.6,success
graph,2048,6,4,5.4240,7.2172,12.6411,1749.8,success
eager,2048,8,4,0.0000,0.2175,0.2175,2161.4,success
graph,2048,8,4,6.7513,9.3325,16.0838,2160.6,success
