impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
eager,64,16,60,2,4,0.0000,0.1651,0.1651,29.6,success
eager,64,16,60,4,4,0.0000,0.2400,0.2400,31.0,success
eager,64,16,60,6,4,0.0000,0.2649,0.2649,32.5,success
eager,64,16,60,8,4,0.0000,0.2513,0.2513,33.9,success
eager,64,16,60,10,4,0.0000,0.2790,0.2790,35.3,success
eager,128,16,60,2,4,0.0000,0.1700,0.1700,47.9,success
eager,128,16,60,4,4,0.0000,0.2390,0.2390,51.8,success
eager,128,16,60,6,4,0.0000,0.2655,0.2655,55.7,success
eager,128,16,60,8,4,0.0000,0.2516,0.2516,59.6,success
eager,128,16,60,10,4,0.0000,0.2858,0.2858,63.4,success
eager,256,16,60,2,4,0.0000,0.1696,0.1696,86.3,success
eager,256,16,60,4,4,0.0000,0.2420,0.2420,96.6,success
eager,256,16,60,6,4,0.0000,0.2710,0.2710,106.8,success
eager,256,16,60,8,4,0.0000,0.2560,0.2560,117.1,success
eager,256,16,60,10,4,0.0000,0.2869,0.2869,127.4,success
eager,512,16,60,2,4,0.0000,0.1715,0.1715,171.3,success
eager,512,16,60,4,4,0.0000,0.2434,0.2434,204.8,success
eager,512,16,60,6,4,0.0000,0.2724,0.2724,238.8,success
eager,512,16,60,8,4,0.0000,0.2661,0.2661,272.8,success
eager,512,16,60,10,4,0.0000,0.2929,0.2929,306.3,success
eager,1024,16,60,2,4,0.0000,0.1782,0.1782,385.1,success
eager,1024,16,60,4,4,0.0000,0.2517,0.2517,503.8,success
eager,1024,16,60,6,4,0.0000,0.2817,0.2817,622.6,success
eager,1024,16,60,8,4,0.0000,0.2686,0.2686,741.3,success
eager,1024,16,60,10,4,0.0000,0.2967,0.2967,860.1,success
eager,512,16,60,6,4,0.0000,0.2723,0.2723,238.8,success
eager,512,16,70,6,4,0.0000,0.2906,0.2906,243.1,success
eager,512,16,80,6,4,0.0000,0.3022,0.3022,247.8,success
eager,512,16,90,6,4,0.0000,0.3070,0.3070,250.0,success
eager,512,16,100,6,4,0.0000,0.3039,0.3039,253.3,success
eager,512,4,60,6,4,0.0000,0.2738,0.2738,217.8,success
eager,512,8,60,6,4,0.0000,0.2751,0.2751,224.5,success
eager,512,16,60,6,4,0.0000,0.2749,0.2749,238.8,success
eager,512,32,60,6,4,0.0000,0.2763,0.2763,265.7,success
eager,512,64,60,6,4,0.0000,0.2817,0.2817,318.7,success
