impl,optimized,dim,batch_size,seq_len,prompt_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
jax,True,64,16,60,20,2,4,15.651,0.242,15.893,307.89,OK
jax,True,64,16,60,20,4,4,15.711,0.277,15.988,341.09,OK
jax,True,64,16,60,20,6,4,15.616,0.319,15.935,374.28,OK
jax,True,64,16,60,20,8,4,15.714,0.389,16.103,407.48,OK
jax,True,64,16,60,20,10,4,16.374,0.437,16.811,440.67,OK
jax,True,128,16,60,20,2,4,15.651,0.293,15.943,610.32,OK
jax,True,128,16,60,20,4,4,15.964,0.373,16.337,676.96,OK
jax,True,128,16,60,20,6,4,15.894,0.412,16.306,743.59,OK
jax,True,128,16,60,20,8,4,16.278,0.481,16.76,810.22,OK
jax,True,128,16,60,20,10,4,16.042,0.49,16.532,876.86,OK
jax,True,256,16,60,20,2,4,16.45,0.428,16.878,1120.92,OK
jax,True,256,16,60,20,4,4,16.443,0.536,16.979,1142.38,OK
jax,True,256,16,60,20,6,4,16.992,0.61,17.602,1163.86,OK
jax,True,256,16,60,20,8,4,16.799,0.69,17.489,1185.32,OK
jax,True,256,16,60,20,10,4,16.568,0.658,17.226,1206.79,OK
jax,True,512,16,60,20,2,4,16.792,1.042,17.834,2243.4,OK
jax,True,512,16,60,20,4,4,17.035,1.059,18.094,2293.52,OK
jax,True,512,16,60,20,6,4,17.111,1.177,18.288,2343.71,OK
jax,True,512,16,60,20,8,4,16.932,1.314,18.246,2395.27,OK
jax,True,512,16,60,20,10,4,16.963,1.642,18.605,2443.98,OK
jax,True,1024,16,60,20,2,4,16.836,2.118,18.954,4534.19,OK
jax,True,1024,16,60,20,4,4,16.941,2.732,19.673,4678.9,OK
jax,True,1024,16,60,20,6,4,16.833,3.306,20.139,4824.26,OK
jax,True,1024,16,60,20,8,4,16.854,3.852,20.706,4969.8,OK
jax,True,1024,16,60,20,10,4,17.277,4.357,21.633,5114.68,OK
jax,True,512,16,60,20,6,4,16.896,1.207,18.103,2344.84,OK
jax,True,512,16,70,20,6,4,17.362,1.175,18.537,2357.91,OK
jax,True,512,16,80,20,6,4,17.369,1.344,18.713,2371.56,OK
jax,True,512,16,90,20,6,4,17.229,1.393,18.623,2385.53,OK
jax,True,512,16,100,20,6,4,17.913,1.252,19.164,2400.16,OK
jax,True,512,16,80,20,6,4,17.507,1.184,18.691,2372.09,OK
jax,True,512,16,80,30,6,4,17.118,1.203,18.321,2370.94,OK
jax,True,512,16,80,40,6,4,16.696,1.219,17.915,2369.77,OK
jax,True,512,16,80,50,6,4,17.495,1.219,18.713,2368.57,OK
jax,True,512,4,60,20,6,4,17.025,1.178,18.202,946.18,OK
jax,True,512,8,60,20,6,4,16.954,1.209,18.163,1306.59,OK
jax,True,512,16,60,20,6,4,17.04,1.134,18.174,2343.71,OK
jax,True,512,32,60,20,6,4,16.997,1.287,18.283,4418.63,OK
jax,True,512,64,60,20,6,4,17.589,1.186,18.774,8568.7,OK
